year,month_num,month_abb,chapter,commodity,value_thousand_usd
2019,7,Jul,73,Articles of iron or steel.,3850.62984
2019,7,Jul,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",9532.55205
2019,7,Jul,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",54887.34747
2019,7,Jul,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",42037.82854
2019,7,Jul,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",86917.35573
2019,7,Jul,95,"Toys, games and sports requisites; parts and accessories thereof.",4439.5613
2019,7,Jul,99,Others,35733.59319
2019,6,Jun,8,Edible fruits and nuts; peel of citrus fruit or melons.,4198.61772
2019,6,Jun,10,Cereals.,21640.15087
2019,6,Jun,17,Sugars and sugar confectionery.,6163.35986
2019,6,Jun,24,Tobacco and manufactured tobacco substitutes,3658.43326
2019,6,Jun,39,Plastics and articles thereof.,19984.6537
2019,6,Jun,40,Rubber and articles thereof.,15301.41816
